filme;orcamento;bilheteria_eua_canada;bilheteria_outros_paises;bilheteria_mundial;lucro
Os Incríveis 2;2,00e+08;608581744;634223615;1242805359;1042805359
Toy Story 4;2,00e+08;434038008;639356585;1073394593;873394593
Toy Story 3;2,00e+08;415004880;651964823;1066969703;866969703
Procurando Dory;2,00e+08;486295561;542275328;1028570889;828570889
Procurando Nemo;9,40e+07;339714978;531300000;871014978;777014978
Divertidamente;1,75e+08;356461711;501149463;857611174;682611174
Viva - A Vida é Uma Festa;1,75e+08;209726015;597356181;807082196;632082196
Up - Altas Aventuras;1,75e+08;293004164;442094918;735099082;560099082
Universidade Monstros;2,00e+08;268492764;475066843;743559607;543559607
Os Incríveis;9,20e+07;261441092;370165621;631606713;539606713
Monstros S. A.;1,15e+08;289916256;342400393;632316649;517316649
Ratatouille;1,50e+08;206445654;417280431;623726085;473726085
Toy Story 2;9,00e+07;245852179;251522597;497374776;407374776
Carros 2;2,00e+08;191452396;368400000;559852396;359852396
Valente;1,85e+08;237283207;301700000;538983207;353983207
Toy Story - Um Mundo de Aventuras;3,00e+07;191796233;181757800;373554033;343554033
Carros;1,20e+08;244082982;217900167;461983149;341983149
WALL-E;1,80e+08;223808164;297503696;521311860;341311860
Vida de Inseto;1,20e+08;162798565;200460294;363258859;243258859
Carros 3;1,75e+08;152901115;231029541;383930656;208930656
O Bom Dinossauro;1,75e+08;123087120;209120551;332207671;157207671
Dois Irmãos: Uma Jornada Fantástica;1,75e+08;61555145;80394976;141950121;-33049879
Soul;1,75e+08;NA;135435315;135435315;-39564685
Luca;NA;NA;NA;NA;NA
